B2 three-weight sensitivity: 70 common-feasible blueprints
alpha beta gamma | median_D median_Bloom median_coverage median_solver_s
    1    1     1 |     40.0         22.0             6.0           0.073
    1    1     3 |     40.0         22.0             6.0           0.072
    1    1    10 |     40.0         22.0             6.0           0.074
    1    3     1 |     40.0         24.0             6.0           0.085
    1    3     3 |     41.0         22.0             6.0           0.080
    1    3    10 |     41.0         22.0             6.0           0.085
    1   10     1 |     40.0         24.0             6.0           0.120
    1   10     3 |     41.0         22.0             6.0           0.092
    1   10    10 |     41.0         22.0             6.0           0.082
    3    1     1 |     40.0         23.0             6.0           0.084
    3    1     3 |     40.0         23.0             6.0           0.090
    3    1    10 |     40.0         22.0             6.0           0.093
    3    3     1 |     40.0         24.0             6.0           0.099
    3    3     3 |     40.0         22.0             6.0           0.089
    3    3    10 |     40.0         22.0             6.0           0.094
    3   10     1 |     40.0         24.0             6.0           0.118
    3   10     3 |     40.0         24.0             6.0           0.114
    3   10    10 |     41.0         22.0             6.0           0.126
   10    1     1 |     40.0         23.0             6.0           0.092
   10    1     3 |     40.0         23.0             6.0           0.088
   10    1    10 |     40.0         22.0             6.0           0.085
   10    3     1 |     40.0         24.0             6.0           0.097
   10    3     3 |     40.0         23.0             6.0           0.093
   10    3    10 |     40.0         22.0             6.0           0.092
   10   10     1 |     40.0         24.0             6.0           0.105
   10   10     3 |     40.0         24.0             6.0           0.099
   10   10    10 |     40.0         22.0             6.0           0.076
B1 no-weight reference |     40.0         24.0             6.0           0.126
